id,Gender,Age,Driving_License,Region_Code,Previously_Insured,Vehicle_Age,Vehicle_Damage,Annual_Premium,Policy_Sales_Channel,Vintage
383347,Female,36,1,45,1,1-2 Year,No,34213,124,55
383348,Female,48,1,28,0,1-2 Year,No,41128,26,68
383349,Male,46,1,28,0,> 2 Years,Yes,36350,26,281
383350,Male,65,1,28,1,1-2 Year,No,2630,124,267
383351,Male,55,1,44,0,1-2 Year,Yes,39743,26,213
383352,Female,22,1,46,0,< 1 Year,No,26508,152,281
383353,Male,25,1,8,0,< 1 Year,Yes,41689,152,191
383354,Female,69,1,0,0,1-2 Year,Yes,2630,122,204
383355,Female,23,1,29,1,< 1 Year,No,24406,152,112
383356,Female,67,1,36,0,1-2 Year,Yes,75936,26,261
383357,Male,41,1,8,0,1-2 Year,Yes,32932,124,84
383358,Female,48,1,48,0,1-2 Year,Yes,2630,152,135
383359,Female,22,1,11,0,< 1 Year,Yes,40102,152,156
383360,Male,47,1,33,1,1-2 Year,No,25254,138,206
383361,Female,22,1,45,1,< 1 Year,No,25458,152,98
383362,Male,60,1,40,0,> 2 Years,Yes,2630,124,94
383363,Male,44,1,20,1,1-2 Year,No,2630,124,19
383364,Male,57,1,28,0,1-2 Year,Yes,37527,26,291
383365,Female,57,1,28,0,1-2 Year,Yes,40323,26,194
383366,Female,75,1,3,1,1-2 Year,No,28896,152,205
383367,Male,41,1,28,1,1-2 Year,No,26708,124,156
383368,Male,20,1,37,0,< 1 Year,No,31856,160,94
383369,Male,47,1,3,1,1-2 Year,Yes,14685,26,85
383370,Male,53,1,46,1,1-2 Year,Yes,2630,156,16
383371,Male,45,1,28,0,1-2 Year,Yes,2630,157,46
383372,Male,29,1,40,1,< 1 Year,No,33622,152,203
383373,Female,54,1,8,1,1-2 Year,No,44898,26,199
383374,Male,35,1,6,0,1-2 Year,Yes,26087,24,61
383375,Male,23,1,30,1,< 1 Year,No,27156,160,102
383376,Male,35,1,6,1,1-2 Year,No,30196,152,52
383377,Female,22,1,28,1,< 1 Year,Yes,68331,152,36
383378,Male,48,1,28,0,> 2 Years,Yes,2630,26,275
383379,Male,49,1,31,1,1-2 Year,No,2630,124,267
383380,Male,54,1,48,0,1-2 Year,Yes,2630,15,66
383381,Male,54,1,28,0,1-2 Year,Yes,33684,36,244
383382,Male,63,1,28,0,> 2 Years,Yes,51729,26,52
383383,Male,34,1,46,0,1-2 Year,Yes,52271,11,90
383384,Female,24,1,27,0,< 1 Year,Yes,25604,152,89
383385,Male,30,1,6,1,< 1 Year,No,42465,152,261
383386,Male,24,1,25,1,< 1 Year,No,29273,152,244
383387,Female,30,1,17,1,< 1 Year,No,33020,152,289
383388,Male,48,1,28,0,1-2 Year,No,51536,26,90
383389,Male,52,1,28,0,1-2 Year,Yes,36626,26,163
383390,Male,44,1,28,0,> 2 Years,Yes,43639,124,154
383391,Male,73,1,1,1,1-2 Year,No,2630,26,72
383392,Male,41,1,41,0,1-2 Year,Yes,2630,122,233
383393,Male,25,1,11,1,< 1 Year,No,24540,152,125
383394,Female,22,1,37,0,< 1 Year,Yes,29271,152,178
383395,Female,32,1,28,1,< 1 Year,No,34819,152,226
383396,Female,25,1,28,0,< 1 Year,Yes,56300,152,63
383397,Male,46,1,8,0,1-2 Year,Yes,45146,26,67
383398,Male,48,1,6,1,1-2 Year,No,24503,26,193
383399,Female,73,1,28,0,1-2 Year,Yes,80051,124,170
383400,Female,20,1,2,0,< 1 Year,Yes,32549,160,113
383401,Female,45,1,28,0,1-2 Year,Yes,2630,122,97
383402,Female,59,1,28,1,1-2 Year,No,24691,16,61
383403,Female,24,1,18,1,< 1 Year,No,34977,152,202
383404,Male,39,1,29,0,1-2 Year,Yes,47143,124,147
383405,Male,54,1,3,0,1-2 Year,Yes,30840,26,166
383406,Female,24,1,6,0,< 1 Year,Yes,34575,152,230
383407,Male,31,1,15,1,< 1 Year,No,48300,152,195
383408,Male,27,1,41,0,1-2 Year,Yes,38523,156,67
383409,Male,53,1,30,1,1-2 Year,No,2630,124,287
383410,Female,34,1,46,1,1-2 Year,No,27572,124,283
383411,Female,55,1,22,1,1-2 Year,No,25919,124,43
383412,Male,28,1,28,1,< 1 Year,No,44117,152,65
383413,Male,51,1,18,0,1-2 Year,Yes,2630,157,144
383414,Female,21,1,28,1,< 1 Year,No,36970,160,144
383415,Female,23,1,30,1,< 1 Year,No,40077,152,81
383416,Female,77,1,28,0,> 2 Years,Yes,56217,26,220
383417,Female,24,1,14,1,< 1 Year,No,22756,152,130
383418,Female,46,1,28,0,1-2 Year,Yes,36463,26,124
383419,Female,28,1,10,1,< 1 Year,No,33026,152,277
383420,Female,42,1,28,0,1-2 Year,Yes,45186,124,221
383421,Female,32,1,28,0,< 1 Year,Yes,53264,157,56
383422,Male,27,1,17,1,1-2 Year,No,35262,124,139
383423,Female,42,1,46,1,1-2 Year,No,33197,124,235
383424,Male,26,1,6,1,< 1 Year,No,21751,152,273
383425,Male,34,1,5,0,1-2 Year,Yes,2630,156,278
383426,Female,42,1,28,0,1-2 Year,Yes,36648,26,15
383427,Male,22,1,28,0,< 1 Year,Yes,43232,124,225
383428,Male,39,1,30,0,1-2 Year,Yes,22819,155,28
383429,Female,69,1,28,0,1-2 Year,Yes,23684,25,193
383430,Female,41,1,28,1,1-2 Year,No,45179,124,194
383431,Male,25,1,10,1,< 1 Year,Yes,30096,152,285
383432,Male,24,1,29,1,< 1 Year,No,2630,152,72
383433,Female,29,1,28,1,< 1 Year,No,70744,152,51
383434,Male,42,1,12,0,1-2 Year,Yes,2630,157,120
383435,Male,25,1,28,1,< 1 Year,No,47249,152,279
383436,Female,67,1,19,1,1-2 Year,No,44311,124,286
383437,Female,21,1,15,1,< 1 Year,Yes,50711,160,116
383438,Female,44,1,28,0,1-2 Year,Yes,41493,124,175
383439,Female,72,1,31,0,1-2 Year,Yes,2630,116,112
383440,Female,20,1,30,0,< 1 Year,No,25068,160,15
383441,Male,42,1,28,0,1-2 Year,Yes,35618,124,85
383442,Male,61,1,8,0,1-2 Year,Yes,43993,26,79
383443,Male,26,1,46,1,< 1 Year,No,37636,152,200
383444,Male,21,1,11,1,< 1 Year,No,27025,160,90
383445,Female,22,1,8,0,< 1 Year,Yes,46336,152,290
383446,Male,34,1,43,0,1-2 Year,Yes,36510,124,41
383447,Male,24,1,37,1,1-2 Year,No,39123,124,196
383448,Female,22,1,30,1,< 1 Year,No,27159,152,124
383449,Female,46,1,39,0,1-2 Year,Yes,42934,122,92
383450,Male,38,1,47,0,1-2 Year,Yes,41024,124,211
383451,Female,46,1,46,1,1-2 Year,No,2630,26,97
383452,Male,33,1,19,0,< 1 Year,Yes,22291,152,153
383453,Male,59,1,8,0,1-2 Year,Yes,44746,26,264
383454,Male,31,1,28,0,1-2 Year,Yes,2630,158,275
383455,Male,22,1,3,1,< 1 Year,No,38732,152,157
383456,Male,57,1,41,1,1-2 Year,No,2630,124,164
383457,Female,48,1,8,0,1-2 Year,Yes,2630,26,214
383458,Female,71,1,47,1,1-2 Year,No,29909,122,47
383459,Female,50,1,28,0,1-2 Year,Yes,43386,26,276
383460,Female,28,1,16,1,< 1 Year,No,23674,152,67
383461,Male,25,1,41,0,< 1 Year,Yes,33709,26,132
383462,Male,56,1,8,0,> 2 Years,Yes,66635,124,72
383463,Female,25,1,4,1,< 1 Year,No,31129,152,127
383464,Male,31,1,29,0,< 1 Year,No,35428,152,246
383465,Male,28,1,43,1,< 1 Year,No,37878,152,88
383466,Male,38,1,0,1,1-2 Year,No,2630,14,197
383467,Female,38,1,28,0,1-2 Year,Yes,34105,124,209
383468,Male,51,1,8,1,1-2 Year,Yes,38566,124,144
383469,Female,33,1,15,1,< 1 Year,No,48615,152,299
383470,Male,41,1,24,0,1-2 Year,No,21039,124,61
383471,Female,22,1,46,0,< 1 Year,Yes,2630,160,252
383472,Male,36,1,2,0,1-2 Year,Yes,29988,157,116
383473,Female,21,1,28,0,< 1 Year,Yes,64757,152,72
383474,Male,43,1,15,0,1-2 Year,Yes,2630,26,231
383475,Male,54,1,8,0,1-2 Year,Yes,49574,26,40
383476,Male,34,1,28,1,1-2 Year,No,35352,152,87
383477,Male,55,1,23,0,1-2 Year,Yes,31559,124,71
383478,Female,39,1,28,0,1-2 Year,Yes,45802,26,84
383479,Male,36,1,45,0,1-2 Year,Yes,23075,107,169
383480,Male,60,1,28,0,1-2 Year,Yes,62570,25,257
383481,Female,54,1,28,0,1-2 Year,Yes,42400,26,159
383482,Male,29,1,3,1,< 1 Year,No,34074,152,63
383483,Male,53,1,28,1,1-2 Year,No,62708,26,196
383484,Female,45,1,28,0,1-2 Year,Yes,44932,125,152
383485,Female,21,1,46,1,< 1 Year,No,28631,160,20
383486,Female,56,1,46,0,1-2 Year,Yes,2630,11,264
383487,Male,30,1,28,0,1-2 Year,Yes,31773,124,103
383488,Male,47,1,28,1,1-2 Year,No,40365,124,54
383489,Male,48,1,28,0,> 2 Years,Yes,48770,26,283
383490,Female,78,1,36,0,> 2 Years,Yes,58094,26,82
383491,Female,23,1,8,1,< 1 Year,No,38008,152,135
383492,Female,21,1,30,1,< 1 Year,No,21404,160,68
383493,Female,29,1,41,1,< 1 Year,No,40121,152,93
383494,Male,24,1,11,1,< 1 Year,No,33929,152,136
383495,Female,42,1,29,0,1-2 Year,Yes,26421,124,170
383496,Male,32,1,28,0,1-2 Year,Yes,47660,55,61
383497,Female,21,1,11,0,< 1 Year,No,2630,160,180
383498,Female,27,1,28,1,< 1 Year,No,49998,152,111
383499,Male,21,1,46,1,< 1 Year,Yes,42048,160,268
383500,Male,26,1,3,1,< 1 Year,No,31638,152,272
383501,Female,23,1,2,1,< 1 Year,Yes,38280,151,161
383502,Female,26,1,39,1,< 1 Year,No,2630,152,122
383503,Male,39,1,45,0,1-2 Year,Yes,19191,26,151
383504,Male,60,1,28,0,1-2 Year,Yes,44683,52,282
383505,Male,25,1,8,1,< 1 Year,No,25413,152,290
383506,Male,47,1,28,0,1-2 Year,Yes,36266,125,25
383507,Female,60,1,20,1,1-2 Year,No,2630,124,20
383508,Female,28,1,9,0,< 1 Year,Yes,41882,152,183
383509,Male,25,1,47,0,< 1 Year,Yes,40533,151,182
383510,Male,21,1,35,1,< 1 Year,No,24058,160,194
383511,Male,42,1,28,0,1-2 Year,Yes,28498,124,125
383512,Male,22,1,10,1,< 1 Year,No,21237,152,15
383513,Male,46,1,28,0,1-2 Year,Yes,32160,152,46
383514,Female,34,1,20,0,1-2 Year,Yes,2630,124,165
383515,Female,41,1,0,0,1-2 Year,No,2630,125,37
383516,Female,26,1,28,1,< 1 Year,No,37295,152,160
383517,Male,22,1,30,0,< 1 Year,No,32611,152,161
383518,Female,21,1,47,1,< 1 Year,No,31968,152,216
383519,Male,46,1,48,1,1-2 Year,Yes,2630,124,255
383520,Male,31,1,16,0,< 1 Year,Yes,29019,152,276
383521,Male,48,1,8,0,1-2 Year,Yes,43221,25,154
383522,Female,42,1,28,0,1-2 Year,Yes,44499,26,165
383523,Male,24,1,11,1,< 1 Year,No,32026,152,60
383524,Male,56,1,28,1,1-2 Year,Yes,46395,26,235
383525,Female,25,1,35,1,< 1 Year,No,24712,152,268
383526,Male,42,1,43,0,1-2 Year,Yes,37931,124,180
383527,Male,44,1,28,0,1-2 Year,No,33380,26,255
383528,Male,41,1,11,1,1-2 Year,No,2630,120,165
383529,Male,57,1,15,1,1-2 Year,No,36624,26,263
383530,Male,24,1,11,0,< 1 Year,Yes,40138,152,262
383531,Male,31,1,50,1,1-2 Year,No,34853,124,229
383532,Female,23,1,18,1,< 1 Year,No,45013,152,199
383533,Female,23,1,37,0,< 1 Year,Yes,41012,152,242
383534,Male,46,1,28,0,1-2 Year,Yes,40219,26,51
383535,Female,27,1,33,0,< 1 Year,Yes,2630,124,203
383536,Male,50,1,19,0,1-2 Year,Yes,29682,26,257
383537,Male,73,1,30,1,1-2 Year,No,47541,152,121
383538,Female,27,1,32,0,< 1 Year,Yes,24489,152,131
383539,Male,37,1,28,0,1-2 Year,Yes,65953,26,105
383540,Male,77,1,8,0,1-2 Year,Yes,31077,124,254
383541,Female,43,1,28,0,1-2 Year,Yes,39597,154,106
383542,Female,26,1,6,1,< 1 Year,No,27541,152,246
383543,Male,58,1,48,1,1-2 Year,No,2630,26,290
383544,Female,48,1,48,0,1-2 Year,Yes,2630,26,240
383545,Male,45,1,8,0,1-2 Year,Yes,37744,26,274
383546,Female,21,1,23,1,< 1 Year,No,2630,160,110
383547,Female,79,1,8,1,1-2 Year,No,27970,152,151
383548,Male,22,1,29,1,< 1 Year,No,29926,152,230
383549,Male,60,1,11,1,1-2 Year,No,2630,124,146
383550,Female,48,1,17,0,1-2 Year,No,23747,156,260
383551,Female,20,1,30,0,1-2 Year,Yes,2630,156,48
383552,Male,26,1,25,1,< 1 Year,No,24829,152,162
383553,Male,22,1,10,0,< 1 Year,Yes,42679,152,233
383554,Female,34,1,28,0,1-2 Year,Yes,61988,124,47
383555,Female,21,1,30,1,< 1 Year,No,21279,152,134
383556,Female,26,1,16,0,< 1 Year,No,2630,152,98
383557,Male,31,1,35,0,< 1 Year,Yes,37555,152,115
383558,Male,24,1,28,1,< 1 Year,No,2630,152,221
383559,Male,23,1,6,1,< 1 Year,No,27345,152,249
383560,Female,77,1,28,0,1-2 Year,Yes,32563,122,187
383561,Male,24,1,30,1,< 1 Year,No,32766,152,55
383562,Female,70,1,28,1,1-2 Year,No,28945,26,69
383563,Male,41,1,28,0,1-2 Year,Yes,32847,26,131
383564,Female,21,1,13,1,< 1 Year,Yes,26797,152,71
383565,Male,53,1,46,0,1-2 Year,Yes,36683,118,128
383566,Female,33,1,14,1,< 1 Year,No,31330,152,221
383567,Male,38,1,35,1,1-2 Year,No,30082,26,194
383568,Female,59,1,28,1,1-2 Year,No,2630,26,248
383569,Female,24,1,28,1,< 1 Year,No,2630,152,16
383570,Female,24,1,28,1,< 1 Year,No,27980,160,97
383571,Male,41,1,46,0,1-2 Year,Yes,40673,124,79
383572,Male,42,1,28,0,1-2 Year,Yes,56284,124,220
383573,Male,25,1,50,0,< 1 Year,Yes,25671,152,112
383574,Male,52,1,28,0,> 2 Years,Yes,41803,26,80
383575,Male,23,1,30,1,< 1 Year,No,29122,152,271
383576,Male,53,1,33,1,1-2 Year,No,32148,152,189
383577,Male,23,1,3,1,< 1 Year,No,35054,152,147
383578,Male,30,1,11,0,1-2 Year,Yes,23119,154,55
383579,Male,54,1,41,0,1-2 Year,Yes,34289,124,109
383580,Male,31,1,8,1,< 1 Year,No,22480,152,34
383581,Male,49,1,8,0,1-2 Year,Yes,2630,124,193
383582,Male,49,1,28,0,1-2 Year,Yes,74067,26,19
383583,Male,57,1,28,1,1-2 Year,No,40614,122,25
383584,Male,47,1,46,1,1-2 Year,No,22246,124,80
383585,Female,42,1,15,0,1-2 Year,Yes,28357,42,209
383586,Male,28,1,6,1,< 1 Year,Yes,28843,152,101
383587,Male,26,1,27,1,< 1 Year,No,24911,152,240
383588,Male,26,1,3,1,< 1 Year,No,20088,152,135
383589,Male,43,1,8,0,1-2 Year,Yes,30635,124,15
383590,Male,43,1,7,0,1-2 Year,Yes,2630,26,222
383591,Male,24,1,27,0,< 1 Year,No,21671,152,168
383592,Female,28,1,29,1,< 1 Year,No,37046,152,33
383593,Female,53,1,28,1,1-2 Year,No,2630,26,261
383594,Female,26,1,3,1,< 1 Year,No,40670,152,218
383595,Male,30,1,28,0,< 1 Year,Yes,39581,124,34
383596,Male,25,1,2,0,< 1 Year,No,19684,160,39
383597,Male,21,1,28,1,< 1 Year,No,2630,156,172
383598,Male,31,1,14,0,< 1 Year,Yes,2630,124,258
383599,Female,78,1,31,1,1-2 Year,No,2630,26,110
383600,Male,64,1,4,0,1-2 Year,Yes,2630,156,112
383601,Male,71,1,28,0,> 2 Years,Yes,43105,122,190
383602,Female,24,1,13,1,< 1 Year,No,24335,152,50
383603,Male,65,1,46,1,1-2 Year,No,2630,122,150
383604,Male,24,1,15,0,< 1 Year,Yes,39958,152,213
383605,Female,22,1,49,0,< 1 Year,Yes,36191,152,194
383606,Male,30,1,30,1,< 1 Year,No,25546,152,249
383607,Male,70,1,6,0,1-2 Year,Yes,27852,26,120
383608,Female,23,1,39,1,< 1 Year,No,2630,152,175
383609,Male,40,1,28,1,1-2 Year,No,59605,122,52
383610,Female,31,1,33,1,1-2 Year,No,41609,26,77
383611,Female,44,1,8,0,1-2 Year,Yes,32347,124,274
383612,Male,23,1,37,0,< 1 Year,Yes,46384,152,30
383613,Female,45,1,21,0,1-2 Year,Yes,36954,26,120
383614,Female,54,1,28,0,1-2 Year,Yes,26644,154,267
383615,Male,44,1,28,0,1-2 Year,Yes,30334,124,23
383616,Male,23,1,8,1,< 1 Year,No,68418,152,216
383617,Female,59,1,28,0,1-2 Year,Yes,52950,154,197
383618,Male,39,1,28,0,1-2 Year,Yes,35983,124,194
383619,Male,47,1,28,0,1-2 Year,Yes,76557,55,214
383620,Male,40,1,46,0,1-2 Year,Yes,31209,160,295
383621,Female,40,1,35,0,1-2 Year,Yes,27669,124,266
383622,Female,44,1,8,0,1-2 Year,Yes,45408,124,136
383623,Male,69,1,48,0,1-2 Year,Yes,2630,26,110
383624,Female,25,1,19,1,< 1 Year,No,41033,152,80
383625,Female,64,1,7,1,1-2 Year,No,2630,26,274
383626,Male,36,1,18,0,1-2 Year,Yes,28638,154,253
383627,Male,48,1,28,0,1-2 Year,Yes,38142,124,16
383628,Male,61,1,15,0,1-2 Year,Yes,32515,14,52
383629,Female,48,1,8,1,1-2 Year,No,49425,124,44
383630,Female,23,1,11,1,< 1 Year,No,27555,152,178
383631,Male,40,1,45,0,1-2 Year,Yes,30937,26,105
383632,Male,26,1,15,1,< 1 Year,No,41581,152,255
383633,Male,51,1,46,1,1-2 Year,No,34621,124,281
383634,Female,27,1,34,0,< 1 Year,Yes,27013,152,203
383635,Male,27,1,31,1,< 1 Year,Yes,2630,152,243
383636,Male,21,1,39,0,< 1 Year,Yes,34462,152,44
383637,Male,64,1,28,0,1-2 Year,Yes,2630,157,17
383638,Male,23,1,8,1,< 1 Year,Yes,37432,152,248
383639,Male,28,1,6,1,< 1 Year,No,23966,152,74
383640,Male,62,1,45,1,1-2 Year,No,29341,26,212
383641,Male,45,1,35,0,1-2 Year,Yes,20293,124,27
383642,Female,33,1,15,1,< 1 Year,No,36296,152,175
383643,Male,36,1,29,0,1-2 Year,Yes,38765,124,64
383644,Female,45,1,28,0,> 2 Years,Yes,63470,122,168
383645,Female,49,1,30,1,1-2 Year,No,27822,152,287
383646,Female,63,1,48,0,1-2 Year,Yes,2630,122,147
383647,Male,44,1,28,1,1-2 Year,No,46114,124,220
383648,Male,25,1,6,1,< 1 Year,No,2630,26,190
383649,Female,23,1,37,0,< 1 Year,Yes,43357,26,245
383650,Female,48,1,28,1,1-2 Year,No,49095,26,194
383651,Male,35,1,28,0,1-2 Year,Yes,39925,26,107
383652,Male,52,1,46,0,1-2 Year,Yes,31960,124,238
383653,Female,25,1,29,1,< 1 Year,No,18994,152,183
383654,Male,53,1,28,0,1-2 Year,Yes,21192,13,277
383655,Female,21,1,37,0,< 1 Year,Yes,23434,152,141
383656,Male,51,1,7,0,1-2 Year,Yes,27201,124,203
383657,Female,20,1,8,1,< 1 Year,No,35510,160,48
383658,Male,31,1,28,1,< 1 Year,No,45732,152,79
383659,Male,42,1,41,0,1-2 Year,No,20677,154,257
383660,Female,23,1,41,1,< 1 Year,No,39478,152,135
383661,Female,54,1,28,0,1-2 Year,Yes,52418,26,260
383662,Female,24,1,2,0,< 1 Year,No,2630,152,189
383663,Female,25,1,28,1,< 1 Year,No,54791,152,145
383664,Male,44,1,20,0,1-2 Year,Yes,2630,124,240
383665,Female,68,1,5,0,1-2 Year,Yes,21631,26,79
383666,Male,29,1,16,1,< 1 Year,No,33435,160,130
383667,Female,33,1,41,0,1-2 Year,Yes,31657,155,132
383668,Male,46,1,19,0,1-2 Year,Yes,48311,31,111
383669,Male,50,1,33,1,1-2 Year,No,49932,124,253
383670,Female,24,1,8,1,< 1 Year,No,28426,152,249
383671,Male,23,1,35,0,< 1 Year,No,24962,152,28
383672,Male,22,1,46,1,< 1 Year,No,38586,160,256
383673,Female,30,1,36,1,< 1 Year,No,29061,152,34
383674,Female,33,1,6,1,< 1 Year,No,29540,152,70
383675,Female,44,1,28,0,1-2 Year,Yes,41608,26,104
383676,Female,31,1,16,1,< 1 Year,No,22871,152,53
383677,Female,70,1,33,0,1-2 Year,Yes,35041,132,85
383678,Female,41,1,8,0,1-2 Year,Yes,39132,124,275
383679,Female,44,1,28,0,1-2 Year,Yes,35298,124,242
383680,Male,60,1,8,0,1-2 Year,Yes,32641,26,238
383681,Male,46,1,28,0,> 2 Years,Yes,45142,26,161
383682,Male,21,1,15,0,< 1 Year,Yes,37609,160,15
383683,Female,44,1,28,0,1-2 Year,Yes,58504,124,224
383684,Male,32,1,12,1,< 1 Year,No,30397,152,103
383685,Female,31,1,46,0,1-2 Year,Yes,2630,156,206
383686,Male,53,1,15,0,1-2 Year,Yes,36550,163,225
383687,Male,23,1,8,1,< 1 Year,No,24150,152,186
383688,Male,32,1,28,0,< 1 Year,Yes,51612,152,136
383689,Female,40,1,28,1,1-2 Year,No,28981,122,298
383690,Male,25,1,15,0,< 1 Year,Yes,45346,152,229
383691,Female,21,1,36,1,< 1 Year,No,38529,152,125
383692,Male,60,1,28,0,> 2 Years,Yes,38771,26,229
383693,Male,26,1,25,1,< 1 Year,No,20170,152,156
383694,Female,24,1,2,0,< 1 Year,Yes,14160,152,227
383695,Female,34,1,23,0,< 1 Year,No,2630,1,10
383696,Female,26,1,22,0,< 1 Year,Yes,33782,152,234
383697,Female,24,1,14,1,< 1 Year,No,36587,152,143
383698,Male,26,1,28,0,< 1 Year,No,41312,26,128
383699,Male,26,1,45,1,< 1 Year,No,22454,152,140
383700,Male,70,1,46,0,1-2 Year,Yes,40180,155,246
383701,Female,57,1,32,0,1-2 Year,Yes,34734,152,275
383702,Male,64,1,28,0,1-2 Year,Yes,66902,26,175
383703,Female,40,1,28,0,1-2 Year,Yes,43014,124,292
383704,Male,47,1,28,0,1-2 Year,Yes,43346,26,97
383705,Male,38,1,11,0,1-2 Year,Yes,34480,156,222
383706,Female,45,1,28,0,1-2 Year,No,2630,26,247
383707,Female,42,1,28,0,1-2 Year,Yes,52359,124,41
383708,Female,24,1,36,0,< 1 Year,Yes,20576,152,283
383709,Female,74,1,28,0,1-2 Year,Yes,37489,26,153
383710,Male,49,1,35,0,1-2 Year,No,2630,156,226
383711,Male,20,1,7,1,< 1 Year,No,2630,160,169
383712,Female,33,1,29,1,< 1 Year,No,46715,152,211
383713,Male,39,1,18,0,1-2 Year,Yes,32993,163,251
383714,Male,24,1,47,1,< 1 Year,No,29950,152,269
383715,Female,26,1,21,1,< 1 Year,No,35254,152,286
383716,Female,23,1,41,1,< 1 Year,No,30860,152,255
383717,Female,20,1,28,1,< 1 Year,No,61977,160,63
383718,Female,28,1,7,1,< 1 Year,No,44436,152,79
383719,Male,26,1,29,1,< 1 Year,No,2630,152,173
383720,Male,52,1,28,0,1-2 Year,Yes,61065,122,236
383721,Female,26,1,11,1,< 1 Year,No,29534,152,68
383722,Female,47,1,28,0,1-2 Year,Yes,39451,122,233
383723,Female,29,1,47,0,< 1 Year,Yes,35033,152,141
383724,Female,26,1,30,1,< 1 Year,No,23353,152,25
383725,Female,20,1,15,0,< 1 Year,Yes,35928,160,181
383726,Female,62,1,37,0,1-2 Year,Yes,39481,26,144
383727,Male,54,1,28,0,1-2 Year,Yes,2630,122,86
383728,Female,49,1,37,0,1-2 Year,Yes,28774,124,147
383729,Female,60,1,47,1,1-2 Year,No,34995,160,247
383730,Female,21,1,45,1,< 1 Year,No,39108,160,217
383731,Male,52,1,29,1,1-2 Year,Yes,32367,124,201
383732,Female,58,1,28,0,1-2 Year,Yes,31230,4,172
383733,Male,31,1,47,0,< 1 Year,Yes,44429,26,55
383734,Male,48,1,25,0,1-2 Year,Yes,33035,26,43
383735,Male,42,1,29,0,1-2 Year,Yes,38421,154,114
383736,Female,23,1,41,1,< 1 Year,No,24033,152,149
383737,Female,57,1,33,0,1-2 Year,Yes,32684,124,167
383738,Female,25,1,18,1,< 1 Year,No,30013,152,257
383739,Female,25,1,25,1,< 1 Year,No,40196,152,172
383740,Male,43,1,28,0,1-2 Year,Yes,31639,26,202
383741,Female,25,1,50,1,< 1 Year,No,23080,152,102
383742,Female,23,1,46,1,< 1 Year,No,32121,152,130
383743,Female,39,1,32,1,1-2 Year,No,29277,26,291
383744,Male,54,1,30,1,1-2 Year,No,28102,124,257
383745,Male,40,1,15,0,1-2 Year,Yes,2630,86,23
383746,Female,51,1,28,1,1-2 Year,No,72544,26,262
383747,Male,24,1,8,1,< 1 Year,No,37810,152,183
383748,Male,46,1,28,0,> 2 Years,Yes,90648,124,56
383749,Female,24,1,6,1,< 1 Year,No,18269,152,11
383750,Male,41,1,28,0,1-2 Year,Yes,40962,26,66
383751,Female,47,1,33,0,1-2 Year,Yes,2630,163,43
383752,Female,24,1,29,1,< 1 Year,No,36383,152,69
383753,Male,29,1,46,0,1-2 Year,Yes,34129,11,118
383754,Female,51,1,0,0,1-2 Year,Yes,2630,26,101
383755,Male,24,1,15,1,< 1 Year,No,44479,152,118
383756,Male,23,1,36,0,< 1 Year,No,26999,152,26
383757,Female,53,1,28,0,1-2 Year,Yes,35650,154,105
383758,Female,44,1,23,0,1-2 Year,Yes,38062,124,235
383759,Female,23,1,9,1,< 1 Year,No,41801,152,292
383760,Female,45,1,28,0,1-2 Year,Yes,40418,26,134
383761,Female,22,1,46,0,< 1 Year,Yes,23317,152,125
383762,Female,24,1,45,1,< 1 Year,No,25167,152,127
383763,Male,47,1,28,0,1-2 Year,Yes,30326,26,47
383764,Male,26,1,47,1,< 1 Year,No,39812,152,287
383765,Male,39,1,18,0,1-2 Year,No,38993,26,30
383766,Female,39,1,28,0,1-2 Year,Yes,48737,124,24
383767,Female,21,1,46,0,< 1 Year,Yes,27462,160,170
383768,Male,40,1,28,0,1-2 Year,Yes,42435,26,111
383769,Male,21,1,34,0,< 1 Year,Yes,32534,152,179
383770,Female,26,1,26,0,< 1 Year,Yes,19168,152,193
383771,Male,34,1,8,1,1-2 Year,No,2630,26,251
383772,Female,27,1,28,1,< 1 Year,No,28427,152,20
383773,Female,77,1,28,1,1-2 Year,No,53266,26,14
383774,Male,24,1,46,1,< 1 Year,No,49161,152,38
383775,Female,21,1,15,0,< 1 Year,Yes,25922,163,193
383776,Male,51,1,46,0,1-2 Year,Yes,36866,124,18
383777,Male,64,1,41,1,1-2 Year,No,28123,124,298
383778,Female,38,1,41,0,1-2 Year,No,23709,124,255
383779,Female,24,1,29,1,< 1 Year,No,30108,152,248
383780,Male,53,1,28,0,1-2 Year,Yes,68199,26,88
383781,Female,25,1,21,1,< 1 Year,No,28445,152,273
383782,Female,46,1,46,0,1-2 Year,Yes,2630,26,261
383783,Female,25,1,26,1,< 1 Year,No,30610,152,117
383784,Male,24,1,37,0,< 1 Year,Yes,38148,151,144
383785,Female,47,1,28,0,> 2 Years,Yes,43365,24,294
383786,Male,45,1,28,0,1-2 Year,Yes,37866,26,154
383787,Female,25,1,10,1,< 1 Year,No,26445,26,269
383788,Male,29,1,28,0,< 1 Year,Yes,2630,158,198
383789,Female,38,1,28,1,1-2 Year,No,53432,122,252
383790,Female,21,1,37,0,< 1 Year,Yes,48012,152,97
383791,Male,49,1,12,0,1-2 Year,Yes,23309,124,85
383792,Male,44,1,28,0,1-2 Year,Yes,40988,124,95
383793,Female,43,1,28,0,1-2 Year,Yes,70247,124,224
383794,Female,35,1,13,1,1-2 Year,No,35843,26,143
